name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency;capacity;other;engine_size;nr_of_accidents;color_exterior;color_interior
Fiat Panda 0.9 TwinAir Young (airco - electr. ramen - radio/cd/mp3);2014;102554 km;;;Petrol;;;Manual;5950,00;EUR;964 cc;;;;;
Opel Vectra B cc , 1.6 16V;1998;264022 km;;;Petrol;;;Manual;1250,00;EUR;1,598 cc;;;;;
Volkswagen GOLF 1.6 TDI BM VARIANT;2012;83639 km;;;Diesel;;;Automatic;5450,00;EUR;1,598 cc;;;;;
Volkswagen TRANSPORTER 9P DSG;2013;288935 km;;;Diesel;;;Automatic;6950,00;EUR;1,968 cc;;;;;
Nissan Almera 1.5 SLX , Airco;1997;260764 km;;;Petrol;;;Manual;950,00;EUR;1,498 cc;;;;;
Mercedes Benz C-Klasse Lim. C 200 Kompressor Automatik / Navi;-;241000 km;;;Petrol;;;Automatic;2700,00;EUR;1,796 cc;;;;;
Volkswagen Tiguan Sport & Style 4Motion;2012;160000 km;;;Diesel;;;Automatic;11750,00;EUR;1,968 cc;;;;;
Audi A4 Avant, Navi, Sitzheizung, Bussines-Paket;-;190302 km;;;Diesel;;;Manual;11700,00;EUR;1,968 cc;;;;;
Toyota Aygo 1.0-12V Cool;2011;198795 km;;;Petrol;;;Manual;2850,00;EUR;998 cc;;;;;
Peugeot 308 CC HDi FAP 140 Premium *Ahk*PDC*Alu*;-;116000 km;;;Diesel;;;Manual;6950,00;EUR;1,997 cc;;;;;
Suzuki Swift 1.0;2001;58899 km;;;Petrol;;;Manual;850,00;EUR;993 cc;;;;;
Suzuki Alto 1.0 , Airco;2002;177477 km;;;Petrol;;;Manual;950,00;EUR;1,061 cc;;;;;
Dacia Logan 1.5 DCi , Airco , not running!!;2007;356852 km;;;Diesel;;;Manual;750,00;EUR;1,461 cc;;;;;
Skoda Kodiaq Sportline 1.5 TSI DSG NAVI/TREKHAAK/STOELVERW.;2020;1013 km;;;Petrol;;;Automatic;47750,00;EUR;1,498 cc;;;;;
Skoda Octavia Combi 1.6 TDI Greenline Ambition Businessline Diesel kan al bij ...;2015;78834 km;;;Diesel;;;Manual;13900,00;EUR;1,598 cc;;;;;
Opel Corsa 5-Drs 1.4 Turbo OPC-Line;2013;82617 km;;;Petrol;;;Manual;4500,00;EUR;1,400 cc;;;;;
Opel Meriva 1.8-16V Cosmo Climate 92kW;2004;188429 km;;;Petrol;;;Manual;1250,00;EUR;1,796 cc;;;;;
Mazda 5 1.8 Touring 7 PERSOONS ,APK JUNI 2021, CLIMATE CONTROLE;2005;273196 km;;;Petrol;;;Manual;2450,00;EUR;1,798 cc;;;;;
Mazda CX-9 3.7 GT-L LPG G3 7 Persoons PRACHTIGE AUTO!;2008;172192 mi;;;LPG;;;Automatic;8500,00;EUR;3,726 cc;;;;;
Alfa Romeo 159 1.9 JTS Distinctive;2006;218932 km;;;Petrol;;;Manual;2999,00;EUR;1,859 cc;;;;;
Ford EcoSport 1.0 EcoBoost Trend 125PK (airco - ML- electr. ramen - radio/cd ...;2015;34416 km;;;Petrol;;;Manual;12700,00;EUR;998 cc;;;;;
Nissan X-Trail SE 4X4;2011;169000 km;;;Diesel;;;Automatic;9999,00;EUR;1,994 cc;;;;;
Nissan Micra Visia;2009;122000 km;;;Petrol;;;Manual;2950,00;EUR;1,240 cc;;;;;
Opel Signum 3.2 V6 Cosmo;2004;296116 km;;;Petrol;;;Manual;999,00;EUR;3,175 cc;;;;;
Peugeot 107 1.0-12V Black & Silver 5-Deurs | Airco | Alcantara | Privacy Glass |...;2012;137260 km;;;Petrol;;;Manual;4190,00;EUR;998 cc;;;;;
Opel Corsa 1.0 Turbo Innovation OPC-Line | Carplay | Dealer onderhouden | Air...;2017;16246 km;;;Petrol;;;Manual;11990,00;EUR;999 cc;;;;;
Audi Q5 3.0 tdi v6 S-line S-tronic;2015;121353 km;;;Diesel;;;Automatic;29950,00;EUR;2,967 cc;;;;;
BMW 730i OLDTIMER;-;272596 km;;;Petrol;;;Automatic;7900,00;EUR;2,986 cc;;;;;
Mercedes Benz E 220 d DRIVE PILOT - Widescreen;-;124237 km;;;Diesel;;;Automatic;23500,00;EUR;1,950 cc;;;;;
Mini Mini 1.6 Cooper Chili cabrio airco;2004;162192 km;;;Petrol;;;Manual;4650,00;EUR;1,598 cc;;;;;
Ford Transit Custom 310L L2 H1 2.0 TDCI 130pk Trend 9-persoons Airco Cruise P...;2017;101152 km;;;Diesel;;;Manual;17850,00;EUR;1,997 cc;;;;;
BMW 3-serie Coupé 320Ci Executive;2001;306681 km;;;Petrol;;;Manual;2200,00;EUR;2,171 cc;;;;;
Renault ESPACE TCE 200 PK Initiale Paris, 7 Pers.DVD, 1e eigenaar;2017;46551 km;;;Petrol;;;Automatic;32750,00;EUR;1,618 cc;;;;;
Opel Astra 1.6-16V Centennial airco 5 deurs;1999;259690 km;;;Petrol;;;Manual;999,00;EUR;1,598 cc;;;;;
Ford Focus 1.6-16V Ghia;1999;203228 km;;;Petrol;;;Manual;999,00;EUR;1,596 cc;;;;;
Fiat Panda 0.9 TwinAir Edizione Cool (airco - electr. ramen voor - radio/cd -...;2014;71882 km;;;Petrol;;;Manual;6840,00;EUR;964 cc;;;;;
Mercedes Benz CITAN TOURER 1090CDI;2016;82000 km;;;Diesel;;;Manual;9900,00;EUR;1,461 cc;;;;;
Mercedes Benz E-Klasse E 220 CDI  9-G-Tronic LED Avantgarde;-;219000 km;;;Diesel;;;Automatic;11200,00;EUR;2,143 cc;;;;;
Volkswagen Golf 7 /VII Variant Trendline BMT 4800,-netto;-;299000 km;;;Diesel;;;Manual;4800,00;EUR;1,598 cc;;;;;
Seat Alhambra Reference 1,4;-;69000 km;;;Petrol;;;Manual;13991,00;EUR;1,395 cc;;;;;
Seat Ateca 2.0 TDI 110kW 4x4   Full link 11200,-netto;-;144000 km;;;Diesel;;;Manual;11200,00;EUR;1,968 cc;;;;;
Mercedes Benz E 200 KOMPRESSOR T ELEGANCE Automatic;-;225000 km;;;Petrol;;;Automatic;3990,00;EUR;1,796 cc;;;;;
Mercedes Benz E-Klasse Lim. E 200 Kompressor Elegance;-;181000 km;;;Petrol;;;Automatic;6900,00;EUR;1,796 cc;;;;;
Volkswagen Touareg 3.0 V6 TDI Tiptronic BMT NAVI Automatik;-;246000 km;;;Diesel;;;Automatic;11200,00;EUR;2,967 cc;;;;;
Volkswagen Passat Variant 2.0 FSI Highline Climat,Cruise,Pdc,Stoelverwarming;2006;263952 km;;;Petrol;;;Manual;3250,00;EUR;1,984 cc;;;;;
Audi A6 Lim. 2.5 TDI;-;309400 km;;;Diesel;;;Automatic;790,00;EUR;2,496 cc;;;;;
Mercedes Benz SPRINTER 5600 NETTO;2009;524573 km;;;Diesel;;;Manual;6776,00;EUR;2,148 cc;;;;;
Mercedes Benz C-klasse C 180 Exclusive Int. & Ext. / Stoelverwarming / Spoorassistent ...;2015;90420 km;;;Petrol;;;Automatic;22900,00;EUR;1,595 cc;;;;;
Mercedes Benz V-klasse 250d Extra Lang Avantgarde L3H1 XL CAMERA NAVIGATIE CRUISE CONT...;2019;25000 km;;;Diesel;;;Automatic;41900,00;EUR;2,143 cc;;;;;
Mercedes Benz V-klasse 250d Extra Lang Avantgarde L3H1 XL CAMERA NAVIGATIE CRUISE CONT...;2019;26000 km;;;Diesel;;;Automatic;41900,00;EUR;2,143 cc;;;;;
Mercedes Benz C-Klasse 240 ,combi ,;1998;341930 km;;;Petrol;;;Automatic;1250,00;EUR;2,398 cc;;;;;
Saab 9-3 Sport Sedan 1.9 TiD Linear;2008;179967 km;;;Diesel;;;Manual;5745,00;EUR;1,910 cc;;;;;
Audi A6 3.0 TDI (DPF) tiptronic quattro Avant;-;381506 km;;;Diesel;;;Automatic;6285,00;EUR;2,967 cc;;;;;
Skoda Rapid Spaceback 1.2 TSI Greentech Edition | Navigatie | Airco | Trekhaak...;2015;144031 km;;;Petrol;;;Manual;8990,00;EUR;1,197 cc;;;;;
Toyota LAND CRUISER 90 SERIES;1999;335490 km;;;Diesel;;;Manual;4500,00;EUR;2,982 cc;;;;;
Maybach 57 57;2004;162000 km;;;Petrol;;;Automatic;62500,00;EUR;5,513 cc;;;;;
Hyundai I20 5 Deurs Airco Prachtige auto;2010;200552 km;;;Petrol;;;Manual;3450,00;EUR;1,248 cc;;;;;
Ford Focus Wagon 1.6 TDCI Lease Trend Prachtige staat Apk Mei 2021;2014;187091 km;;;Diesel;;;Manual;5999,00;EUR;1,560 cc;;;;;
Lancia Delta 1.4-16V Oro;2009;227599 km;;;Petrol;;;Manual;3500,00;EUR;1,368 cc;;;;;
Mazda 6 2.0 CiTD Touring II Dealer onderhouden.;2005;277918 km;;;Diesel;;;Manual;1499,00;EUR;1,998 cc;;;;;
Skoda Octavia Combi 1.2 TSI Ambition Business Line Apk maart 2021 Nette auto;2010;221251 km;;;Petrol;;;Manual;4250,00;EUR;1,197 cc;;;;;
Toyota Land Cruiser PRADO 150;2014;140627 km;;;Diesel;;;Automatic;24000,00;EUR;2,982 cc;;;;;
Toyota Land Cruiser PRADO 150;2014;130000 km;;;Diesel;;;Automatic;24000,00;EUR;2,982 cc;;;;;
Toyota Land Cruiser PRADO 150;2014;130000 km;;;Diesel;;;Automatic;24000,00;EUR;2,982 cc;;;;;
Toyota Land Cruiser PRADO 150;2014;130000 km;;;Diesel;;;Automatic;24000,00;EUR;2,982 cc;;;;;
Opel Tour 1.6 Njoy Apk Aug. 2021 Airco;2002;180835 km;;;Petrol;;;Manual;2750,00;EUR;1,598 cc;;;;;
Peugeot 106 1.6 Rallye S2;-;254000 km;;;Petrol;;;Manual;2950,00;EUR;1,587 cc;;;;;
Fiat Croma 1.9 JTD Corporate;2008;195398 km;;;Diesel;;;Automatic;2900,00;EUR;1,910 cc;;;;;
Volvo XC60 Momentum 2WD*Navi*T-Leder*EURO6*;2014;179900 km;;;Diesel;;;Manual;13534,00;EUR;1,969 cc;;;;;
Mercedes Benz G 63 AMG Mod. 2020*Auslieferung*Sofort*;-;25 km;;;Petrol;;;Automatic;179998,00;EUR;3,982 cc;;;;;
Skoda Octavia Combi Classic;-;223990 km;;;Diesel;;;Manual;3353,00;EUR;1,598 cc;;;;;
Fiat Punto Evo 0.9 TwinAir Turbo Sempre 100 PK | Navigatie | Cruise Control |...;2018;21514 km;;;Petrol;;;Manual;11890,00;EUR;875 cc;;;;;
Volkswagen T-Roc Design 1.0 TSI 85 kW / 115 PK;2018;52959 km;;;Petrol;;;Manual;23500,00;EUR;999 cc;;;;;
Skoda Octavia Combi 1.4 TSI Greentech Style Business NAVI/PANO/CAMERA/XENON;2017;42202 km;;;Petrol;;;Automatic;22800,00;EUR;1,395 cc;;;;;
Mercedes Benz C200 CDI AUTOMAAT*ZETELVERWARMING*NAVI*;2013;70993 km;;;Diesel;;;Automatic;14900,00;EUR;2,143 cc;;;;;
Mercedes Benz B 180 parktronic*automatic*navi;2014;64790 km;;;Petrol;;;Automatic;12400,00;EUR;1,595 cc;;;;;
Mercedes Benz E220 Verwarmde zetels*parktronic*navigatie;2016;36391 km;;;Diesel;;;Automatic;35000,00;EUR;1,950 cc;;;;;
Seat Leon Comfort Limited;-;177000 km;;;Diesel;;;Automatic;2999,00;EUR;1,896 cc;;;;;
Opel MOKKA X 4X4 Turbo 140 PK, Leder, Navi, Automaat;2016;70901 km;;;Petrol;;;Automatic;17950,00;EUR;1,364 cc;;;;;
Nissan Micra 1.4 , Airco;2002;196981 km;;;Petrol;;;Manual;750,00;EUR;1,348 cc;;;;;
Volkswagen POLO POLO GT 1.4 TSI BMT + NAVI + PANO + CAMERA + FULL+ MARGE;2015;71000 km;;;Petrol;;;Manual;13950,00;EUR;1,395 cc;;;;;
Suzuki Swift 1.2 Base;2011;122573 km;;;Petrol;;;Manual;4750,00;EUR;1,242 cc;;;;;
Opel Insignia 1.6 T Sport;2010;107906 km;;;Petrol;;;Manual;9499,00;EUR;1,598 cc;;;;;
Skoda Karoq Style 1.5 TSI DSG NAVI/TREKHAAK/LED;2020;1023 km;;;Petrol;;;Automatic;35900,00;EUR;1,498 cc;;;;;
Mercedes Benz E-Klasse E280 CDI SPORT Advandgarde NIEUWSTAAT;2007;363000 km;;;Diesel;;;Automatic;8900,00;EUR;2,987 cc;;;;;
Mercedes Benz Viano 2.2 CDI Trend Lang;2007;191000 km;;;Diesel;;;Automatic;11950,00;EUR;2,148 cc;;;;;
Opel Corsa 1.2-16V Business;2008;175002 km;;;Petrol;;;Manual;2949,00;EUR;1,229 cc;;;;;
Hyundai I30 CW 1.4i i-Drive Cool;2011;137661 km;;;Petrol;;;Manual;5749,00;EUR;1,396 cc;;;;;
Mercedes Benz SPRINTER 313 CDI LANG AIRCO;2010;323424 km;;;Diesel;;;Manual;4450,00;EUR;2,143 cc;;;;;
Chevrolet Epica 2.5i Executive BOMVOL OPTIES 1e eigenaar!;2006;114063 km;;;Petrol;;;Automatic;2999,00;EUR;2,492 cc;;;;;
Mercedes Benz V-KLASSE 250 CDI marge 8-persoons;2014;271526 km;;;Diesel;;;Automatic;29900,00;EUR;2,143 cc;;;;;
Kia Optima 1.7CRDI Optima 1.7CRDI Euro5b;2014;110500 km;;;Diesel;;;Automatic;12500,00;EUR;1,685 cc;;;;;
Volkswagen Caddy Maxi 1.6 Comfortline 7p. Apk feb. 2021;2010;216645 km;;;Petrol;;;Manual;8000,00;EUR;1,595 cc;;;;;
Suzuki Swift 1.5 Exclusive Airco;2007;247009 km;;;Petrol;;;Manual;1400,00;EUR;1,490 cc;;;;;
Opel Mokka Innovation ecoFlex vast Voll ausstatung;2013;113000 km;;;Diesel;;;Manual;9999,00;EUR;1,686 cc;;;;;
Alfa Romeo Spider 1.8 TBI PKW Cabrio;2009;44500 km;;;Petrol;;;Manual;19900,00;EUR;1,742 cc;;;;;
Renault Clio 1.5 dCi Zen AUTOMAAT  NAVI KLIMA;2017;126823 km;;;Diesel;;;Automatic;4500,00;EUR;1,461 cc;;;;;
Opel Astra 1.6 CDTI 81KW BSN SPORTS TOURER NAVI KLIMA;2016;151702 km;;;Diesel;;;Manual;4950,00;EUR;1,598 cc;;;;;
Volkswagen Beetle Lim. 2.0;-;212000 km;;;Petrol;;;Manual;690,00;EUR;1,984 cc;;;;;
Volkswagen T5 Transporter Kasten 1,9 TDi Anhängerkupplung;2006;354000 km;;;Diesel;;;Manual;2500,00;EUR;1,896 cc;;;;;
Toyota Avensis Wagon 2.0 D-4D EXECUTIVE AIRCO NIEUWE APK;2005;379234 km;;;Diesel;;;Manual;2400,00;EUR;1,995 cc;;;;;
Mercedes Benz SPRINTER;2012;356618 km;;;Diesel;;;Manual;8950,00;EUR;2,143 cc;;;;;
Renault Mégane Scénic 2.0 , Airco;2001;267839 km;;;Petrol;;;Manual;750,00;EUR;1,998 cc;;;;;
Opel Agila 1.2-16V Color Edition Hoge instap;2003;201029 km;;;Petrol;;;Manual;1250,00;EUR;1,199 cc;;;;;
Suzuki Splash 1.0 VVT Comfort airco;2011;112682 km;;;Petrol;;;Manual;4799,00;EUR;996 cc;;;;;
Kia KIA RIO 1.3 RS Visto Sedan - Airco - 7116;2004;155919 km;;;Petrol;;;Manual;1250,00;EUR;1,343 cc;;;;;
Nissan Micra 1.3 SE , Airco;1999;133522 km;;;Petrol;;;Manual;750,00;EUR;1,275 cc;;;;;
Toyota Aygo 1.0-12V Access airco (airco - radio/cd/mp3/AUX;2010;173770 km;;;Petrol;;;Manual;3340,00;EUR;998 cc;;;;;
Ford Transit Kombi 300S 2.0TDdi 9 PERS/ APK;2004;297790 km;;;Diesel;;;Manual;2195,00;EUR;1,998 cc;;;;;
Skoda Fabia 1.2 Active (radio/cd - trekhaak);2013;66674 km;;;Petrol;;;Manual;5850,00;EUR;1,198 cc;;;;;
BMW 740D XDRIVE INDIVIDUAL DVD-ENTERTAINMENT;2013;151746 km;;;Diesel;;;Automatic;23950,00;EUR;2,993 cc;;;;;
Mitsubishi Colt 1.5 Invite Nette auto!;2005;223835 km;;;Petrol;;;Manual;1750,00;EUR;1,499 cc;;;;;
Volkswagen T5 Bus Multivan Highline;2014;183000 km;;;Diesel;;;Automatic;24900,00;EUR;1,968 cc;;;;;
Land Rover Discovery Sport TD4 Pure;-;45700 km;;;Diesel;;;Manual;19784,00;EUR;1,999 cc;;;;;
Audi A5 2.0 TDI DPF S-Line *Navi*Teil-Leder*Alu*;-;85000 km;;;Diesel;;;Automatic;17999,00;EUR;1,968 cc;;;;;
Land Rover Range Rover Sport SDV6 HSE Dynamic *Pano-Dach*;-;197000 km;;;Diesel;;;Automatic;28017,00;EUR;2,993 cc;;;;;
Skoda Fabia Combi 1.2 TDI Greenline Businessline;2013;179729 km;;;Diesel;;;Manual;6900,00;EUR;1,199 cc;;;;;
Peugeot 206 SW 1.4-16V XS (airco - trekhaak - electr. ramen voor - radio-cd);2004;136678 km;;;Petrol;;;Manual;2740,00;EUR;1,360 cc;;;;;
Toyota Land Cruiser 150 (J15) 2.8D Grijs kent. Airco Keyles entry;2017;34422 km;;;Diesel;;;Manual;33820,00;EUR;2,755 cc;;;;;
Porsche Panamera GTS Matrix/ACC/Head-Up/Softclo/21Turbo;-;6700 km;;;Petrol;;;Automatic;109159,00;EUR;3,996 cc;;;;;
Opel VIVARO 9-Persoons 2.0 CDTI L1H1 Airco;2011;214396 km;;;Diesel;;;Manual;8000,00;EUR;1,995 cc;;;;;
Mercedes Benz Sprinter II Kasten 319 V6 3,0 CDI;2014;374000 km;;;Diesel;;;Manual;13804,00;EUR;2,987 cc;;;;;
Opel Zafira 1.8 111 years Edition airco-nap;2010;184422 km;;;Petrol;;;Manual;5749,00;EUR;1,796 cc;;;;;
Chevrolet Kalos 1.4 Spirit 5 Deurs Airco Apk Dec. 2020;2005;176277 km;;;Petrol;;;Manual;1450,00;EUR;1,399 cc;;;;;
Peugeot 206 SW 1.4 Pop Art 55kW;2004;255901 km;;;Petrol;;;Manual;700,00;EUR;1,360 cc;;;;;
Honda Civic HYBRID 1.3 Automaat Airco;2008;330962 km;;;Hybrid;;;Automatic;2450,00;EUR;1,300 cc;;;;;
Peugeot 206 SW 1.6-16V XS;2003;229721 km;;;Petrol;;;Manual;600,00;EUR;1,587 cc;;;;;
Mercedes Benz Vito 9 persoons XXL autm 113 CDI 343 incl btw (aftrekbaar) 15999 excl;2013;165000 km;;;Diesel;;;Automatic;19350,00;EUR;2,143 cc;;;;;
Mercedes Benz Vito 113 CDI 343 9 persoons XXL excl btw;2013;165000 km;;;Diesel;;;Automatic;15999,00;EUR;2,143 cc;;;;;
Skoda Rapid 1.6 TDI Greentech Style;2016;85483 km;;;Diesel;;;Manual;12900,00;EUR;1,596 cc;;;;;
Nissan QASHQAI + Manual + airco + navi;2013;40956 km;;;Petrol;;;Manual;11950,00;EUR;1,598 cc;;;;;
"Volkswagen Golf 2.0 TSI GTI Performance 19 "" LED Navi Camera Facelift";2017;47944 km;;;Petrol;;;Manual;24500,00;EUR;1,984 cc;;;;;
Mercedes Benz GLA-klasse GLA 180 Business Solution AMG Automaat;2019;15556 km;;;Petrol;;;Automatic;33900,00;EUR;1,595 cc;;;;;
Mercedes Benz GLA-klasse GLA 180 Sport Edition AMG Line Automaat;2019;502 km;;;Petrol;;;Automatic;39900,00;EUR;1,595 cc;;;;;
Mercedes Benz CLA-klasse CLA 180 Progressive / Advantage pack / Apple Carplay;2020;4085 km;;;Petrol;;;Automatic;39900,00;EUR;1,332 cc;;;;;
Mercedes Benz G 320 CDI 5 deurs Lang Facelift;2007;235000 km;;;Diesel;;;Automatic;36950,00;EUR;2,987 cc;;;;;
Toyota Land Cruiser 120 3.0 D-4D Executive;2005;304370 km;;;Diesel;;;Automatic;9950,00;EUR;2,982 cc;;;;;
Volkswagen Caddy maxi 1.9 TDI Rolstoel vervoer Airco;2009;456219 km;;;Diesel;;;Manual;2950,00;EUR;1,896 cc;;;;;
Ford Ka 1.2 Trend (radio/cd/mp3 - electr. ramen voor - centr.deurvergr. met a...;2009;129360 km;;;Petrol;;;Manual;3450,00;EUR;1,242 cc;;;;;
Opel Grandland X 1.2 Turbo Automaat 120 Jaar Edition (airco - cruise control ...;2019;10965 km;;;Petrol;;;Automatic;29900,00;EUR;1,199 cc;;;;;
Mercedes Benz SPRINTER 315 CDI LANG AIRCO;2009;251340 km;;;Diesel;;;Automatic;4250,00;EUR;2,148 cc;;;;;
Volvo XC90 2.0 T8 Twin Engine AWD Momentum | 7 PERS. | PANO-DAK | LUCHTVERING ...;2015;203016 km;;;Hybrid;;;Automatic;28950,00;EUR;1,969 cc;;;;;
Audi A1 Ambition;-;83600 km;;;Petrol;;;Manual;7990,00;EUR;1,390 cc;;;;;
BMW Seria 5 BMW Seria 5 E61 rok grudzieñ 2008;2008;290000 km;;;Diesel;;;;39000.0;PLN;2993 cm33;[];;;;
BMW Seria 5 530d M Pakiet xdrive;2011;240000 km;;;Diesel;;;;78900.0;PLN;3000 cm33;[];;;;
Kia Soul Salon Polska mo¿liwa Zamiana;2015;190000 km;;;Diesel;;;;38900.0;PLN;1600 cm33;[];;;;
Infiniti QX30 Premium Sport 2018r. 2.0T 211KM.BLINIAK Mercedes GLA Przebieg 22ty;2018;25000 km;;;Petrol;;;;89900.0;PLN;1991 cm33;[];;;;
Audi A5 Salon Polska;2012;304950 km;;;Petrol;;;;39990.0;PLN;1798 cm33;[];;;;
Kia Stonic Polski Salon,  Serwis ASO, Bezwypadkowy , Gwarancja, FVAT 23%;2019;21417 km;;;Petrol;;;;62900.0;PLN;1368 cm33;[];;;;
Volkswagen Multivan VW T6 highline 4x4 bitdi 204 KM 2xel przesuwane drzwi 7 osób kamera;2017;55000 km;;;Diesel;;;;238000.0;PLN;1968 cm33;[];;;;
Triumph Daytona sprzedam fantastyczny motocykl Triumph Daytona 675 R stan idealny;2016;10000 km;;;;;;;42500.0;PLN;675 cm33;['Sport'];;;;
BMW Seria 5 BMW 520xd, 1 w³. salon PL, katalogowa cena 350 tys z³, WEBASTO, vat23%;2018;72000 km;;;Diesel;;;;160000.0;PLN;1995 cm33;[];;;;
Mini Cooper bezwypadkowy, sprawny;2005;145000 km;;;Petrol;;;;16000.0;PLN;1598 cm33;[];;;;
Renault Megane ***121tys***BOSE***1/2 Skóra***KolorNavi**Op³acona***Gwarancja***;2012;121000 km;;;Petrol;;;;27700.0;PLN;1197 cm33;[];;;;
Renault Megane **2.0Benzyna**180KM**Alu**Climatronic**Op³acona**Gwarancja**;2009;171000 km;;;Petrol;;;;22900.0;PLN;1998 cm33;[];;;;
Mercedes-Benz Sprinter LONG  9 Osobowy nowa zabudowa;2018;178000 km;;;;;;;125000.0;PLN;2143 cm33;['Sprinter LONG '];;;;
Peugeot partner  idealny 94 Tys Led Navi czujniki Brutto;2016;94000 km;;;;;;;34000.0;PLN;1600 cm33;['partner '];;;;
Audi A3 1.9 TDI 105 km 5 drzwi, klima zarejestrowany;2007;360000 km;;;Diesel;;;;18999.0;PLN;1896 cm33;[];;;;
Ford Mondeo;2016;100000 km;;;Diesel;;;;55000.0;PLN;1997 cm33;[];;;;
Mercedes-Benz Klasa E Mercedes Klasa E W212 Coupe 350 CDI Blueefficienty 231km SALON PL;2009;205000 km;;;Diesel;;;;47500.0;PLN;2987 cm33;[];;;;
Audi S7 Audi S7 2016 4,0 V8 BiTurbo 450KM, przebieg tylko 61000 km !!!;2016;62100 km;;;Petrol;;;;208000.0;PLN;4000 cm33;[];;;;
Toyota Yaris sprzedaje prywatnie NAJWY¯SZA WERSJA podgrzewane fotele klima;2009;201065 km;;;Diesel;;;;12900.0;PLN;1364 cm33;[];;;;
Renault Espace Renault Espace;2004;197000 km;;;Diesel;;;;5900.0;PLN;2188 cm33;[];;;;
BMW Seria 4 430i Facelift Cabrio 1 575 km Sport;2018;1588 km;;;Petrol;;;;129999.0;PLN;1998 cm33;[];;;;
Iveco STRALIS  Iveco Stralis HI WAY E6 460;2015;350000 km;;;;;;;105000.0;PLN;0;['STRALIS '];;;;
Wacker Neuson WL55  £adowarka ko³owa WACKER NEUSON WL55;2008;0;;;;;;;70000.0;PLN;0;[];;;;
BMW Seria 3 BMW 330i F30 M Pakiet 328i 320i;2017;43000 km;;;Petrol;;;;81900.0;PLN;1998 cm33;[];;;;
Toyota RAV4 2,2 D4D 150KM 4x4, pe³na elektryka, 2 kpl. opon zima/lato;2013;81420 km;;;Diesel;;;;56900.0;PLN;2231 cm33;[];;;;
Jeep Renegade WYPRZEDA¯ *2019* Limited 120KM M6 *Srebrny* Promocja;2019;3 km;;;Petrol;;;;74680.0;PLN;999 cm33;[];;;;
Jeep Wrangler 2019' SAHARA 200KM MJD 8AT 4x4 FullTime *Czarna* SUPER;2019;5 km;;;Diesel;;;;219900.0;PLN;2143 cm33;[];;;;
Jeep Compass WYPRZEDA¯ *liczny Limited 140KM 1,4 MAir 6 Manualna 2019 * !!!;2019;6 km;;;Petrol;;;;99425.0;PLN;1368 cm33;[];;;;
Saab 9-3 Saab 9 3 1.9TiDS Vector 2005;2005;318000 km;;;Diesel;;;;9900.0;PLN;1910 cm33;[];;;;
Volkswagen T-Roc Advance 2.0 TSI 190 KM, 4 Motion, dosotepny od reki !;2020;1 km;;;Petrol;;;;127900.0;PLN;1984 cm33;[];;;;
BMW 7 oryginalne ko³a;0;0;;;;;;;4500.0;PLN;0;['BMW', 'Ko³a'];;;;
Case IH CT5080  Pierwszy w³aciciel / Bardzo dobry stan / W trakcie pracy!;2003;0;;;;;;;145000.0;PLN;0;[];;;;
Mercedes-Benz Klasa E 220d 4MATIC All Terrain (194KM) Pojazd Demonstracyjny AKCJA SPECJALNA;2019;13200 km;;;Diesel;;;;285749.0;PLN;1950 cm33;[];;;;
VW GOLF 4 IV czarne reflektory lampy przednie prawa lewa TUNING 1997-2003 EUROPEJSKIE;0;0;;;;;;;259.0;PLN;0;['Volkswagen', 'Nadwozie i owietlenie'];;;;
Mercedes-Benz GLC 63 S AMG 4MATIC+ Coupe FL (510KM);2019;5 km;;;Petrol;;;;434333.0;PLN;3982 cm33;[];;;;
Ford Explorer III XLT 4.0 V6 BENZYNA 210KM Automat II.w³aciciel 7osób HAK;2004;124963 km;;;Petrol;;;;21950.0;PLN;4015 cm33;[];;;;
Mercedes-Benz GLE 400d 4MATIC (330 KM) Wyprzeda¿ 2019! Promocyjny Leasing 101%;2019;10 km;;;Diesel;;;;492000.0;PLN;2925 cm33;[];;;;
Mercedes-Benz CLS 53 AMG 4MATIC (435KM) Wyprzeda¿ rocznika 2019! Promocyjny Leasing 100%;2019;10 km;;;Petrol;;;;477000.0;PLN;2996 cm33;[];;;;
Mercedes-Benz GLC 250 4MATIC 9G Tronic (211 KM) Samochód demonstracyjny!;2019;12000 km;;;Petrol;;;;227000.0;PLN;1991 cm33;[];;;;
Mercedes-Benz Klasa C 200 4Matic 9G Tronic (184KM), Samochód demonstracyjny;2019;10622 km;;;Petrol;;;;175455.0;PLN;1497 cm33;[];;;;
Mercedes-Benz GLC 250 4Matic Coupe 9G Tronic (211KM) Promocyjny leasing 101%!;2019;10 km;;;Petrol;;;;249500.0;PLN;1991 cm33;[];;;;
Mercedes-Benz Klasa B 200d 8G DCT (150KM) Samochód demonstracyjny AKCJA SPECJALNA;2019;13500 km;;;Diesel;;;;136451.0;PLN;1950 cm33;[];;;;
Mercedes-Benz GLC GLB 200d 4Matic 8G DCT (150KM) Samochód demonstracyjny!;2019;5 km;;;Diesel;;;;226000.0;PLN;1950 cm33;[];;;;
Mercedes-Benz Klasa B 180 7G DCT (136KM) Promocyjny Leasing 101%! B klasa taniej o VAT!!!;2019;5 km;;;Petrol;;;;117000.0;PLN;1332 cm33;[];;;;
